,Open,High,Low,Close,Volume,RSI,MFI,EMA,SO,CloseNext
2391,2235,2255.75,2226.25,2237.050049,6565515,53.90754167,48.88319997,2230.697814,36.61033511,2280.699951
2392,2230.600098,2285.75,2225.850098,2280.699951,10666190,62.14846978,56.93894687,2237.364765,91.56918526,2287.5
2393,2278.899902,2304,2268.5,2287.5,12341434,60.36940761,54.97360758,2244.049463,53.52112651,2206.5
2394,2290,2290,2195,2206.5,9246702,54.15026981,56.50138985,2239.042868,12.10526302,2175.800049
2395,2215,2232.5,2172.649902,2175.800049,9960828,53.06779582,57.65175553,2230.610492,5.263394117,2176.199951
2396,2190.050049,2228.699951,2155.149902,2176.199951,14398973,50.49614024,50.00959247,2223.355753,28.62003446,2155.899902
2397,2179,2193,2152.25,2155.899902,8529573,48.94678302,43.37838818,2214.36164,8.956815302,2124.600098
2398,2168,2192,2097.75,2124.600098,15728986,46.38914507,35.09760689,2202.393434,28.48816812,2106.949951
2399,2127.399902,2132.5,2091,2106.949951,14215215,45.40441442,34.25746416,2189.667637,38.43361735,2113.050049
2400,2106,2135,2096.399902,2113.050049,10809307,40.97589431,40.25754486,2179.451958,43.13498437,2029.099976
2401,2101.949951,2101.949951,2018.5,2029.099976,17225212,33.19845849,38.50077494,2159.405027,12.70219535,2034.5
2402,2034.900024,2059.850098,2005,2034.5,16835004,23.33172718,25.22794272,2142.751024,53.78295183,2011.449951
2403,2041.800049,2057.699951,2007.400024,2011.449951,13809929,23.03830759,24.7999264,2125.244214,8.051555604,2026.900024
2404,1997,2042,1991,2026.900024,14147418,22.03874321,24.16990815,2112.131655,70.39220333,2054.5
2405,2033.5,2065.100098,2021.800049,2054.5,15700946,26.79547432,27.56443309,2104.447435,75.51943064,1877.449951
2406,2027,2027,1859.150024,1877.449951,45857808,15.04265285,18.35183688,2074.181103,10.90254933,1850.400024
2407,1890,1909,1835.099976,1850.400024,40931168,16.7371906,10.96542131,2044.343626,20.70371211,1913.199951
2408,1837,1929,1837,1913.199951,37003112,27.63840974,22.69461245,2026.857803,82.82603621,1955
2409,1954.949951,1960.949951,1932,1955,17170274,29.55176987,28.17475451,2017.276763,79.44745421,2029.150024
2410,1990,2040,1978.150024,2029.150024,30770080,38.01842562,37.18068056,2018.859864,82.4575901,2050.699951
2411,2062.100098,2069,2036,2050.699951,16539467,34.67740667,41.81268173,2023.105209,44.54530776,2084.550049
2412,2077,2090,2041.199951,2084.550049,17045148,32.79004909,47.48374043,2031.297854,88.83208036,1997.199951
2413,2089,2095,1978.099976,1997.199951,26178476,28.70038456,45.76114601,2026.751467,16.33872688,1980
2414,1981,2008.449951,1965,1980,18481466,33.77151036,41.25147958,2020.517938,34.52247977,1996.400024
2415,1982,2036.650024,1981.75,1996.400024,20946864,33.3683054,47.25310216,2017.302216,26.68491304,1993.25
2416,2085,2085,1985,1993.25,21479384,39.67210259,53.14649747,2014.095254,8.250000328,1987.199951
2417,1993.25,2006.5,1960.099976,1987.199951,14030652,40.92556515,53.15668093,2010.509214,58.40508938,1973.150024
2418,1987.199951,2010.449951,1968.199951,1973.150024,12828008,45.59462374,53.40866901,2005.527989,11.71614975,1899.5
2419,1975,1983.800049,1895,1899.5,26522972,45.16754359,47.18180379,1991.390923,5.06756492,1950.699951
2420,1951,1970,1926.25,1950.699951,20918664,56.90711928,57.17684632,1985.96546,55.88560104,1964.050049
2421,1964,1974,1932,1964.050049,14277083,53.98320922,66.71571519,1983.043406,76.30963922,1947.800049
2422,1980,1992.949951,1942.199951,1947.800049,15062376,53.68085954,64.22981487,1978.344291,11.03467494,1952.599976
2423,1953.050049,1965,1930.050049,1952.599976,11924527,49.722861,59.17503029,1974.911716,64.52062726,1929.800049
2424,1940.5,1956.099976,1921.400024,1929.800049,21845932,43.90016754,49.35072276,1968.896827,24.20759648,1954.900024
2425,1940.349976,1966.25,1930.050049,1954.900024,9114939,44.51281724,47.70159684,1967.030587,68.64643693,1958.150024
2426,1958.5,1962,1935,1958.150024,10240168,38.74691741,46.03467859,1965.846512,85.74082851,1964.050049
